,open,high,close,low,volume,price_change,p_change
2018-02-27,23.53,25.88,24.16,23.53,95578.03,0.63,2.68
2018-02-26,22.8,23.78,23.53,22.8,60985.11,0.69,3.02
2018-02-23,22.88,23.37,22.82,22.71,52914.01,0.54,2.42
2018-02-22,22.25,22.76,22.28,22.02,36105.01,0.36,1.64
2018-02-14,21.49,21.99,21.92,21.48,23331.04,0.44,2.05
2018-02-13,21.4,21.9,21.48,21.31,30802.45,0.28,1.32
2018-02-12,20.7,21.4,21.19,20.63,32445.39,0.82,4.03
2018-02-09,21.2,21.46,20.36,20.19,54304.01,-1.5,-6.86
2018-02-08,21.79,22.09,21.88,21.75,27068.16,0.09,0.41
2018-02-07,22.69,23.11,21.8,21.29,53853.25,-0.5,-2.24
2018-02-06,22.8,23.55,22.29,22.2,55555.0,-0.97,-4.17
2018-02-05,22.45,23.39,23.27,22.25,52341.39,0.65,2.87
2018-02-02,22.4,22.7,22.62,21.53,33242.11,0.2,0.89
2018-02-01,23.71,23.86,22.42,22.22,66414.64,-1.3,-5.48
2018-01-31,23.85,23.98,23.72,23.31,49155.02,-0.11,-0.46
2018-01-30,23.71,24.08,23.83,23.7,32420.43,0.05,0.21
2018-01-29,24.4,24.63,23.77,23.72,65469.81,-0.73,-2.98
2018-01-26,24.27,24.74,24.49,24.22,50601.83,0.11,0.45
2018-01-25,24.99,24.99,24.37,24.23,104097.59,-0.93,-3.68
2018-01-24,25.49,26.28,25.29,25.2,134838.0,-0.2,-0.79
2018-01-23,25.15,25.53,25.5,24.93,104205.76,0.39,1.55
2018-01-22,25.14,25.4,25.13,24.75,68292.08,-0.01,-0.04
2018-01-19,24.6,25.34,25.13,24.42,128449.11,0.53,2.15
2018-01-18,24.4,24.88,24.6,24.3,67435.14,0.01,0.04
2018-01-17,24.42,24.92,24.6,23.8,92242.51,0.2,0.82
2018-01-16,23.4,24.6,24.4,23.3,101295.42,0.96,4.1
2018-01-15,24.01,24.23,23.43,23.3,69768.17,-0.8,-3.3
2018-01-12,23.7,25.15,24.24,23.42,120303.53,0.56,2.37
2018-01-11,23.67,23.85,23.67,23.21,48525.75,-0.12,-0.5
2018-01-10,24.1,24.6,23.8,23.4,70125.79,-0.14,-0.58
2018-01-09,24.6,24.78,23.96,23.82,82175.82,-0.76,-3.07
2018-01-08,24.12,24.95,24.71,24.01,109535.76,0.2,0.82
2018-01-05,24.0,25.4,24.51,23.7,204266.23,-0.56,-2.23
2018-01-04,22.79,25.07,25.07,22.51,130131.15,2.28,10.0
2018-01-03,22.42,22.83,22.79,22.18,74687.1,0.38,1.7
2018-01-02,22.3,22.54,22.42,22.05,42677.76,0.12,0.54
2017-12-29,22.34,22.46,22.31,22.02,35955.75,0.08,0.36
2017-12-28,22.23,22.84,22.24,22.12,56245.01,0.11,0.5
2017-12-27,22.25,22.57,22.13,21.8,49288.5,-0.11,-0.49
2017-12-26,21.73,22.66,22.23,21.73,61929.7,0.72,3.35
2017-12-25,22.81,22.93,21.51,21.11,86069.77,-1.47,-6.4
2017-12-22,23.21,23.39,22.99,22.9,28394.0,-0.21,-0.91
2017-12-21,23.39,23.5,23.21,22.86,34005.55,-0.11,-0.47
2017-12-20,23.61,23.96,23.33,23.2,43368.92,-0.14,-0.6
2017-12-19,23.23,23.66,23.46,23.23,43068.7,0.31,1.34
2017-12-18,23.0,23.49,23.13,22.83,29610.0,0.12,0.52
2017-12-15,23.4,23.4,23.0,22.85,43442.15,-0.46,-1.96
2017-12-14,23.65,23.77,23.47,23.22,45061.12,-0.33,-1.39
2017-12-13,23.99,24.38,23.81,23.6,68659.12,-0.15,-0.63
2017-12-12,22.61,24.14,23.98,22.61,125206.36,1.21,5.31
2017-12-11,22.61,22.94,22.75,22.5,41287.0,0.14,0.62
2017-12-08,22.4,22.9,22.61,22.04,53722.08,0.35,1.57
2017-12-07,21.98,22.48,22.26,21.92,48619.64,0.22,1.0
2017-12-06,21.66,22.1,22.06,21.51,52664.77,0.36,1.66
2017-12-05,22.91,23.26,21.7,21.65,78668.67,-1.22,-5.32
2017-12-04,23.91,24.15,22.92,22.85,85482.8,-1.27,-5.25
2017-12-01,24.04,24.49,24.18,24.04,43521.0,-0.04,-0.17
2017-11-30,24.37,24.76,24.25,24.05,49973.27,-0.05,-0.21
2017-11-29,24.66,24.8,24.29,23.96,55658.83,-0.4,-1.62
2017-11-28,24.01,24.9,24.7,24.0,49008.5,0.5,2.07
2017-11-27,24.4,24.95,24.21,24.01,58332.89,-0.23,-0.94
2017-11-24,24.1,24.7,24.45,24.09,53160.52,0.43,1.79
2017-11-23,25.3,25.43,24.03,23.98,76386.5,-1.24,-4.91
2017-11-22,25.21,25.9,25.26,24.84,68269.5,-0.03,-0.12
2017-11-21,24.6,25.98,25.28,24.56,79894.52,0.17,0.68
2017-11-20,25.55,25.58,25.09,23.46,125673.2,-0.98,-3.76
2017-11-17,28.0,28.15,26.08,25.91,167193.12,-2.09,-7.42
2017-11-16,28.1,28.72,28.17,28.0,88125.71,-0.3,-1.05
2017-11-15,29.3,29.3,28.46,28.3,121419.46,-0.86,-2.93
2017-11-14,28.0,29.89,29.34,27.68,243773.23,1.1,3.9
2017-11-13,28.61,29.23,28.25,28.09,155953.17,0.16,0.57
2017-11-10,28.78,28.99,28.09,27.88,125618.36,-0.28,-0.99
2017-11-09,28.88,29.09,28.37,27.76,191055.7,-0.67,-2.31
2017-11-08,28.8,29.7,29.04,28.11,163853.66,0.06,0.21
2017-11-07,28.6,29.37,28.98,28.42,173107.2,0.8,2.84
2017-11-06,28.67,28.74,28.18,27.76,150896.66,0.03,0.11
2017-11-03,28.86,29.62,28.15,28.03,279166.28,-2.3,-7.55
2017-11-02,31.8,31.8,30.45,30.45,312481.06,-3.38,-9.99
2017-11-01,33.85,34.34,33.83,33.1,232325.3,-0.61,-1.77
2017-10-31,32.62,35.22,34.44,32.2,361660.88,2.38,7.42
2017-10-30,32.56,34.4,32.06,31.85,337772.31,-1.05,-3.17
2017-10-27,31.45,33.2,33.11,31.45,333824.31,0.7,2.16
2017-10-26,29.3,32.7,32.41,28.92,501915.41,2.68,9.01
2017-10-25,27.86,30.45,29.73,27.54,328947.31,1.68,5.99
2017-10-24,28.2,28.75,28.05,27.22,313290.41,-1.74,-5.84
2017-10-23,29.0,31.16,29.79,28.9,466494.47,1.46,5.15
2017-10-20,29.2,29.83,28.33,27.85,411570.12,1.17,4.31
2017-10-19,25.61,27.2,27.16,25.61,180490.47,1.47,5.72
2017-10-18,25.63,26.41,25.69,25.5,109353.35,0.26,1.02
2017-10-17,25.3,25.88,25.43,25.23,67649.41,0.24,0.95
2017-10-16,26.4,26.48,25.19,25.03,113208.69,-1.16,-4.4
2017-10-13,26.26,26.54,26.35,26.14,54308.65,0.09,0.34
2017-10-12,26.28,26.51,26.26,25.92,85889.09,-0.05,-0.19
2017-10-11,27.26,27.37,26.31,26.02,128767.41,-0.81,-2.99
2017-10-10,27.12,27.49,27.12,26.75,89222.62,-0.23,-0.84
2017-10-09,27.8,28.22,27.35,27.0,170660.12,-0.44,-1.58
2017-09-29,27.49,27.88,27.79,27.04,157664.69,0.51,1.87
2017-09-28,27.58,28.1,27.28,27.11,229023.39,-0.98,-3.47
2017-09-27,26.52,29.01,28.26,26.52,379796.5,1.74,6.56
2017-09-26,24.87,26.66,26.52,24.85,165497.09,1.61,6.46
2017-09-25,25.78,26.16,24.91,24.67,139779.2,-1.27,-4.85
2017-09-22,27.0,27.18,26.18,25.87,214371.81,-1.55,-5.59
2017-09-21,26.03,28.48,27.73,25.7,362346.28,1.84,7.11
2017-09-20,25.66,26.08,25.89,25.35,101501.12,0.15,0.58
2017-09-19,25.95,26.52,25.74,25.53,109876.95,-0.21,-0.81
2017-09-18,26.66,26.66,25.95,25.53,157942.91,-0.94,-3.5
2017-09-15,26.58,27.76,26.89,26.33,168521.77,0.16,0.6
2017-09-14,26.7,27.1,26.73,26.42,115186.16,-0.22,-0.82
2017-09-13,27.2,27.85,26.95,26.66,176571.05,-0.51,-1.86
2017-09-12,27.18,28.55,27.46,26.31,300924.56,0.37,1.37
2017-09-11,26.9,27.55,27.09,26.56,258046.98,0.16,0.59
2017-09-08,25.5,27.47,26.93,25.32,341440.59,1.36,5.32
2017-09-07,24.41,26.9,25.57,24.2,289668.06,1.06,4.33
2017-09-06,23.51,24.88,24.51,23.38,161732.8,0.56,2.34
2017-09-05,23.76,24.32,23.95,23.31,138987.19,0.19,0.8
2017-09-04,24.45,24.45,23.76,23.3,244004.84,-1.28,-5.11
2017-09-01,25.33,25.5,25.04,24.78,174311.09,-0.58,-2.26
2017-08-31,24.16,25.88,25.62,23.78,259406.52,1.47,6.09
2017-08-30,23.25,24.6,24.15,23.21,196509.73,1.09,4.73
2017-08-29,23.45,23.85,23.06,23.04,90952.18,-0.44,-1.87
2017-08-28,23.45,23.7,23.5,23.05,119146.78,0.13,0.56
2017-08-25,22.5,23.6,23.37,22.5,129597.0,0.75,3.32
2017-08-24,22.87,23.25,22.62,22.47,133903.14,-0.45,-1.95
2017-08-23,23.9,24.06,23.07,22.85,264518.94,-1.28,-5.26
2017-08-22,22.55,24.98,24.35,22.38,462432.88,1.64,7.22
2017-08-21,22.6,22.88,22.71,22.14,88234.07,0.31,1.38
2017-08-18,21.75,22.98,22.4,21.51,152416.92,0.52,2.38
2017-08-17,21.8,22.05,21.88,21.65,57783.36,-0.01,-0.05
2017-08-16,21.37,22.07,21.89,21.35,69848.0,0.45,2.1
2017-08-15,21.52,21.68,21.44,21.34,40952.0,-0.06,-0.28
2017-08-14,21.1,21.56,21.5,20.93,43295.1,0.27,1.27
2017-08-11,21.85,22.09,21.23,21.1,86670.4,-0.82,-3.72
2017-08-10,21.45,22.2,22.05,21.36,103465.63,0.65,3.04
2017-08-09,21.62,21.62,21.4,21.23,54995.01,-0.26,-1.2
2017-08-08,21.62,21.8,21.66,21.49,49367.1,-0.03,-0.14
2017-08-07,21.6,21.97,21.69,21.49,41980.9,0.2,0.93
2017-08-04,22.1,22.27,21.49,21.44,88873.78,-0.79,-3.55
2017-08-03,22.18,22.46,22.28,21.99,59435.48,0.39,1.78
2017-08-02,22.13,22.49,21.89,21.86,79428.17,-0.49,-2.19
2017-08-01,22.65,23.18,22.38,22.3,114695.56,-0.41,-1.8
2017-07-31,22.78,22.9,22.79,21.84,143611.59,-0.22,-0.96
2017-07-28,22.6,23.36,23.01,22.5,100094.83,0.25,1.1
2017-07-27,23.39,23.39,22.76,22.63,101811.01,-0.64,-2.73
2017-07-26,23.53,23.92,23.4,22.85,110276.48,-0.3,-1.27
2017-07-25,23.07,24.2,23.7,22.64,167489.48,0.67,2.91
2017-07-24,22.8,23.79,23.03,22.63,103290.47,-0.17,-0.73
2017-07-21,22.75,23.98,23.2,22.75,161110.59,0.53,2.34
2017-07-20,22.52,23.1,22.67,22.36,109022.27,0.06,0.27
2017-07-19,21.14,22.86,22.61,20.86,144764.88,1.35,6.35
2017-07-18,20.63,21.58,21.26,20.63,95195.62,0.29,1.38
2017-07-17,22.64,22.66,20.97,20.58,178461.53,-1.9,-8.31
2017-07-14,23.28,24.29,22.87,22.8,163954.17,-0.6,-2.56
2017-07-13,23.6,23.6,23.47,22.81,175621.84,-0.34,-1.43
2017-07-12,22.26,23.95,23.81,22.26,262545.69,1.58,7.11
2017-07-11,22.99,24.0,22.23,21.85,257624.34,-0.9,-3.89
2017-07-10,21.11,23.44,23.13,21.06,303458.56,1.82,8.54
2017-07-07,20.8,21.44,21.31,20.65,111032.43,0.33,1.57
2017-07-06,20.86,21.19,20.98,20.69,93068.35,-0.03,-0.14
2017-07-05,20.59,21.14,21.01,20.51,123547.26,0.23,1.11
2017-07-04,21.97,21.99,20.78,20.75,180345.66,-1.2,-5.46
2017-07-03,21.59,22.14,21.98,21.37,174278.0,0.42,1.95
2017-06-30,21.6,21.74,21.56,21.13,147825.48,-0.18,-0.83
2017-06-29,21.78,21.94,21.74,21.47,146380.23,0.07,0.32
2017-06-28,22.2,22.37,21.67,21.41,233137.12,-0.53,-2.39
2017-06-27,23.1,23.24,22.2,22.06,288556.75,-1.06,-4.56
2017-06-26,23.3,23.87,23.26,22.57,282271.66,-0.08,-0.34
2017-06-23,24.0,24.47,23.34,23.34,438271.69,-2.59,-9.99
2017-06-22,23.32,25.93,25.93,23.26,421673.59,2.36,10.01
2017-06-21,23.0,23.84,23.57,22.9,205097.59,-0.51,-2.12
2017-06-20,23.75,24.45,24.08,22.22,374005.34,1.58,7.02
2017-06-19,21.0,22.85,22.5,20.94,229015.38,1.7,8.17
2017-06-16,20.41,21.78,20.8,20.41,125647.79,0.59,2.92
2017-06-15,19.33,20.35,20.21,19.33,98190.0,0.91,4.71
2017-06-14,19.31,19.91,19.3,19.11,70500.37,0.18,0.94
2017-06-13,18.25,19.35,19.12,18.25,65146.83,0.98,5.4
2017-06-12,18.8,18.8,18.14,18.1,41033.32,-0.93,-4.88
2017-06-09,19.2,19.2,19.07,18.6,47677.14,0.07,0.37
2017-06-08,19.35,19.5,19.0,18.93,40625.74,-0.3,-1.55
2017-06-07,18.59,19.44,19.3,18.59,51874.76,0.75,4.04
2017-06-06,18.74,18.8,18.55,18.4,27284.12,-0.14,-0.75
2017-06-05,18.16,18.94,18.69,18.14,62384.89,0.51,2.81
2017-06-02,18.15,18.19,18.18,17.65,30574.41,0.24,1.34
2017-06-01,17.9,18.24,17.94,17.73,36640.23,0.03,0.17
2017-05-31,17.85,18.25,17.91,17.8,33070.1,0.14,0.79
2017-05-26,17.1,17.95,17.77,17.0,39074.11,0.78,4.59
2017-05-25,16.95,17.15,16.99,16.84,27697.59,0.17,1.01
2017-05-24,17.2,17.41,16.82,16.72,33831.04,-0.59,-3.39
2017-05-23,17.75,17.99,17.41,17.36,18310.28,-0.33,-1.86
2017-05-22,17.85,18.06,17.74,17.69,14134.85,-0.11,-0.62
2017-05-19,17.81,18.07,17.85,17.8,13165.16,0.05,0.28
2017-05-18,17.8,18.09,17.8,17.75,13933.25,-0.13,-0.72
2017-05-17,17.87,18.29,17.93,17.75,22997.42,0.23,1.3
2017-05-16,17.5,17.71,17.7,17.18,22541.04,0.19,1.08
2017-05-15,17.3,17.76,17.51,17.3,14621.41,-0.09,-0.51
2017-05-12,17.85,17.97,17.6,17.13,32420.13,-0.32,-1.79
2017-05-11,18.35,18.35,17.92,17.51,25633.92,-0.4,-2.18
2017-05-10,18.63,18.8,18.32,18.27,19551.74,-0.4,-2.14
2017-05-09,18.53,18.83,18.72,18.48,15432.39,0.2,1.08
2017-05-08,18.58,18.85,18.52,18.45,19794.03,-0.12,-0.64
2017-05-05,19.1,19.24,18.64,18.5,34650.32,-0.47,-2.46
2017-05-04,19.31,19.35,19.11,19.01,18099.59,-0.24,-1.24
2017-05-03,19.28,19.65,19.35,19.11,32751.71,-0.03,-0.15
2017-05-02,19.2,19.76,19.38,19.1,25369.62,-0.07,-0.36
2017-04-28,18.87,19.5,19.45,18.75,38565.28,0.71,3.79
2017-04-27,18.9,18.92,18.74,18.26,38648.9,-0.06,-0.32
2017-04-26,18.85,19.0,18.8,18.55,23559.97,0.05,0.27
2017-04-25,18.88,19.05,18.75,18.7,22038.9,0.03,0.16
2017-04-24,19.58,19.58,18.72,18.7,40010.66,-0.91,-4.64
2017-04-21,19.49,19.74,19.63,19.38,27309.89,0.13,0.67
2017-04-20,20.07,20.16,19.5,19.21,78006.18,-0.73,-3.61
2017-04-19,21.3,21.53,20.23,20.0,106229.9,-1.24,-5.78
2017-04-18,20.61,21.78,21.47,20.52,111616.35,0.63,3.02
2017-04-17,20.67,21.54,20.84,20.43,55493.28,0.18,0.87
2017-04-14,21.21,21.42,20.66,20.51,75102.73,-0.77,-3.59
2017-04-13,21.3,21.8,21.43,21.02,77429.64,0.02,0.09
2017-04-12,20.26,22.66,21.41,20.26,142753.48,0.75,3.63
2017-04-11,20.36,20.86,20.66,20.03,87876.53,-0.07,-0.34
2017-04-10,21.3,21.4,20.73,19.72,162768.84,-1.18,-5.39
2017-04-07,20.81,22.36,21.91,20.81,167942.41,1.1,5.29
2017-04-06,21.0,21.26,20.81,20.65,65391.54,-0.18,-0.86
2017-04-05,19.73,21.58,20.99,19.73,112405.49,1.31,6.66
2017-03-31,19.9,19.96,19.68,19.61,24455.88,-0.23,-1.16
2017-03-30,19.68,20.17,19.91,19.63,47187.37,0.24,1.22
2017-03-29,19.8,19.94,19.67,19.56,21987.51,-0.03,-0.15
2017-03-28,19.78,19.84,19.7,19.54,18767.43,-0.06,-0.3
2017-03-27,19.91,20.27,19.76,19.64,38625.45,-0.2,-1.0
2017-03-24,19.5,20.17,19.96,19.35,47933.66,0.46,2.36
2017-03-23,19.88,20.16,19.5,19.28,54301.64,-0.39,-1.96
2017-03-22,20.19,20.24,19.89,19.88,36156.71,-0.45,-2.21
2017-03-21,20.47,20.55,20.34,20.18,29715.91,-0.14,-0.68
2017-03-20,20.4,20.62,20.48,20.21,25206.15,0.06,0.29
2017-03-17,20.6,20.78,20.42,20.32,36230.77,-0.15,-0.73
2017-03-16,20.6,20.78,20.57,20.5,37080.64,-0.01,-0.05
2017-03-15,20.8,20.87,20.58,20.57,23884.3,-0.31,-1.48
2017-03-14,20.52,21.2,20.89,20.52,41866.68,0.11,0.53
2017-03-13,20.92,20.99,20.78,20.0,75689.44,-0.33,-1.56
2017-03-10,20.96,21.29,21.11,20.89,32501.76,0.18,0.86
2017-03-09,21.17,21.19,20.93,20.84,24272.15,-0.17,-0.81
2017-03-08,21.3,21.38,21.1,21.02,40267.26,-0.31,-1.45
2017-03-07,21.88,21.94,21.41,21.3,56062.87,-0.57,-2.59
2017-03-06,22.13,22.2,21.98,21.75,38718.44,0.04,0.18
2017-03-03,21.79,22.44,21.94,21.68,41946.99,0.15,0.69
2017-03-02,22.0,22.08,21.79,21.71,33910.13,-0.29,-1.31
2017-03-01,21.61,22.48,22.08,21.61,86207.58,0.45,2.08
2017-02-28,21.52,21.87,21.63,21.52,26001.91,0.1,0.46
2017-02-27,21.82,21.93,21.53,21.5,42925.61,-0.4,-1.82
2017-02-24,22.08,22.18,21.93,21.61,79111.58,-0.29,-1.3
2017-02-23,20.99,22.82,22.22,20.89,168803.86,1.34,6.42
2017-02-22,21.35,21.39,20.88,20.73,67072.25,-0.45,-2.11
2017-02-21,21.7,21.7,21.33,21.22,52111.92,-0.26,-1.2
2017-02-20,21.46,21.8,21.59,21.3,39081.32,0.0,0.0
2017-02-17,22.17,22.26,21.59,21.42,80507.85,-0.76,-3.4
2017-02-16,21.57,22.38,22.35,21.5,110729.67,0.57,2.62
2017-02-15,21.5,22.29,21.78,21.3,133393.03,0.55,2.59
2017-02-14,20.75,21.49,21.23,20.7,82831.5,0.44,2.12
2017-02-13,20.38,20.98,20.79,20.27,57570.38,0.34,1.66
2017-02-10,20.72,20.81,20.45,20.42,38393.69,-0.22,-1.06
2017-02-09,20.52,20.82,20.67,20.42,41640.09,0.02,0.1
2017-02-08,20.55,21.1,20.65,20.3,67684.26,-0.24,-1.15
2017-02-07,19.97,21.2,20.89,19.68,114606.5,0.44,2.15
2017-02-06,19.35,21.09,20.45,19.35,103630.6,1.28,6.68
2017-02-03,19.13,19.28,19.17,18.81,8275.0,-0.02,-0.1
2017-01-26,19.3,19.37,19.19,19.09,11587.02,0.03,0.16
2017-01-25,19.15,19.24,19.16,19.07,10523.48,0.05,0.26
2017-01-24,19.29,19.44,19.11,19.01,12048.09,-0.04,-0.21
2017-01-23,19.11,19.36,19.15,19.06,11590.1,0.03,0.16
2017-01-20,18.63,19.2,19.12,18.56,20846.31,0.49,2.63
2017-01-19,18.67,18.88,18.63,18.48,21747.06,-0.02,-0.11
2017-01-18,18.65,18.99,18.65,18.48,18204.36,0.0,0.0
2017-01-17,18.51,18.88,18.65,18.0,23118.5,0.18,0.97
2017-01-16,19.95,19.95,18.47,17.96,53365.19,-1.49,-7.46
2017-01-13,20.26,20.49,19.96,19.82,28662.83,-0.44,-2.16
2017-01-12,20.05,20.83,20.4,20.05,55561.81,0.35,1.75
2017-01-11,20.31,20.34,20.05,20.02,35996.74,-0.15,-0.74
2017-01-10,20.22,20.45,20.2,20.06,33120.56,-0.2,-0.98
2017-01-09,20.38,20.56,20.4,19.75,54709.33,0.21,1.04
2017-01-06,20.0,20.5,20.19,19.97,77353.22,0.13,0.65
2017-01-05,19.78,20.4,20.06,19.47,76149.86,0.29,1.47
2017-01-04,19.44,19.96,19.77,19.39,41216.04,0.29,1.49
2017-01-03,19.4,19.68,19.48,19.3,30298.01,0.13,0.67
2016-12-30,19.6,19.99,19.35,19.31,56657.23,-0.49,-2.47
2016-12-29,19.38,20.43,19.84,19.15,74834.28,0.43,2.21
2016-12-28,19.59,19.73,19.41,19.37,36609.58,-0.1,-0.51
2016-12-27,19.68,19.87,19.51,19.46,57796.91,-0.38,-1.91
2016-12-26,19.81,19.9,19.89,19.0,53083.59,0.05,0.25
2016-12-23,20.46,20.48,19.84,19.7,87762.36,-0.58,-2.84
2016-12-22,18.5,20.42,20.42,18.45,150470.83,1.86,10.02
2016-12-21,18.49,18.62,18.56,18.2,38396.23,0.18,0.98
2016-12-20,18.45,18.48,18.38,18.2,28583.0,-0.15,-0.81
2016-12-19,18.5,18.68,18.53,18.35,30877.32,0.05,0.27
2016-12-16,18.53,18.85,18.48,18.45,47045.17,0.0,0.0
2016-12-15,17.98,18.86,18.48,17.88,60191.69,0.44,2.44
2016-12-14,18.11,18.5,18.04,17.55,81916.83,-0.4,-2.17
2016-12-13,19.04,19.15,18.44,17.18,131585.48,-0.58,-3.05
2016-12-12,19.48,19.92,19.02,18.98,88336.21,-0.38,-1.96
2016-12-09,20.91,20.99,19.4,19.37,120205.35,-1.51,-7.22
2016-12-08,21.3,21.39,20.91,20.85,40095.18,-0.39,-1.83
2016-12-07,21.14,21.32,21.3,20.82,25909.87,0.32,1.52
2016-12-06,21.18,21.38,20.98,20.85,41620.73,-0.22,-1.04
2016-12-05,20.85,21.38,21.2,20.82,39028.21,0.14,0.67
2016-12-02,21.58,21.59,21.07,20.75,62426.78,-0.38,-1.77
2016-12-01,21.5,21.7,21.48,21.17,56745.53,0.01,0.05
2016-11-30,22.21,22.37,21.48,21.14,117431.54,-1.39,-6.08
2016-11-29,25.0,25.1,22.87,22.87,190253.05,-2.54,-10.0
2016-11-16,24.5,25.52,25.4,24.5,98748.28,0.76,3.08
2016-11-15,24.36,24.98,24.65,24.15,44825.48,0.32,1.31
2016-11-14,25.22,25.23,24.36,24.15,83265.02,-0.75,-2.99
2016-11-11,24.9,25.3,25.11,24.5,107587.03,0.15,0.6
2016-11-10,24.48,25.4,24.96,24.23,112731.55,0.54,2.21
2016-11-09,24.4,24.79,24.44,23.63,121654.84,-0.03,-0.12
2016-11-08,23.17,24.5,24.46,22.95,105850.97,1.41,6.12
2016-11-07,23.11,23.39,23.06,22.84,44069.47,-0.33,-1.41
2016-11-04,23.17,23.65,23.3,22.8,57950.55,0.09,0.39
2016-11-03,23.16,23.51,23.2,22.65,108786.66,0.13,0.56
2016-11-02,23.8,23.99,23.1,23.0,105628.11,-0.78,-3.27
2016-11-01,24.1,24.6,23.9,23.63,104329.24,-0.35,-1.44
2016-10-31,23.78,24.75,24.27,23.51,150868.73,0.38,1.59
2016-10-28,24.1,24.2,23.89,23.05,96994.48,-0.15,-0.62
2016-10-27,23.89,24.28,24.02,23.89,95846.8,-0.08,-0.33
2016-10-26,23.25,24.56,24.1,22.8,151046.05,0.86,3.7
